               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11354,            0.018584,                   0,             0.14052,            0.025641,            0.064782,            0.027366,            0.076373,            0.012093,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.085334,            0.026106,                   0,             0.20649,             0.38462,             0.19415,            0.060958,            0.061535,            0.011442,                   0,            0.050282,           0.0052822,           0.0052822
                   2,            0.076239,            0.026664,                   0,             0.33153,             0.38462,             0.32868,             0.13042,            0.065631,            0.010075,                   0,            0.024643,           0.0076426,           0.0076426
                   3,            0.072078,            0.025849,                   0,             0.26982,             0.51282,             0.22928,             0.09545,             0.06264,           0.0096904,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.065624,            0.025113,                   0,             0.39103,              0.5641,              0.4293,             0.16326,            0.055606,           0.0085303,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.060639,            0.025486,                   0,              0.4441,             0.53846,             0.43314,             0.15848,            0.049496,           0.0086246,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.053587,            0.024051,                   0,             0.57696,              0.4359,             0.49474,             0.23422,            0.047214,           0.0082434,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.051378,            0.020715,                   0,             0.68961,             0.51282,             0.55241,             0.23624,            0.042105,             0.00862,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.051547,            0.020238,                   0,             0.53029,             0.61538,             0.48321,             0.24447,            0.041538,           0.0082639,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.046546,            0.019643,                   0,             0.86475,             0.69231,             0.76615,              0.3991,            0.036832,           0.0081434,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.043929,            0.018251,                   0,             0.73039,             0.66667,             0.64717,             0.34322,             0.04655,           0.0075045,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.041903,            0.018459,                   0,             0.83683,              0.6577,             0.78209,              0.4104,            0.036281,           0.0079771,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.040059,            0.017941,                   0,             0.79573,             0.69935,             0.76031,             0.46441,             0.03508,           0.0079178,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.036115,            0.016889,                   0,             0.86878,             0.67928,             0.74415,             0.43664,            0.036952,           0.0080044,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.037254,            0.017302,                   0,             0.75095,             0.69592,             0.70401,             0.43685,            0.038256,           0.0074978,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.036034,            0.015812,                   0,             0.77169,             0.66667,             0.73483,             0.48097,            0.032907,           0.0073946,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.032424,            0.015162,                   0,             0.69939,             0.71795,             0.67128,             0.43127,            0.032525,           0.0074341,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.032095,            0.015373,                   0,             0.70417,             0.71795,             0.63947,             0.45346,            0.031554,           0.0073264,                   0,            0.003664,            0.003664,            0.003664
                  18,             0.03139,            0.015026,                   0,              0.6325,             0.82051,             0.65533,             0.45137,             0.03206,           0.0071999,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.030559,            0.014348,                   0,             0.63658,             0.82051,             0.68567,             0.49191,            0.028807,           0.0072925,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.027274,            0.014294,                   0,              0.6605,             0.82051,             0.68348,             0.48501,            0.030071,           0.0073212,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.028563,            0.013613,                   0,              0.6508,             0.82051,              0.6895,             0.51187,            0.028573,           0.0072095,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.027213,            0.014649,                   0,              0.6753,             0.82051,              0.6944,             0.48731,            0.029201,           0.0072462,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.027032,            0.013747,                   0,             0.67583,             0.82051,             0.68441,             0.48504,            0.030192,           0.0071839,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.026529,            0.014646,                   0,             0.69333,             0.82051,             0.71282,             0.49912,            0.029513,           0.0071534,                   0,            0.000892,            0.000892,            0.000892
